net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,LMZ,38.9187,16.2527,0.063,3,Al,100,SL,2.93075200035846,4.418174117942415
IT,LNG,44.6553,10.3133,0.203,3,Al,100,SL,72.4709972391766,1.3664775192881966
IT,LNT,37.2884,15.0022,0.117,12,Cr,100,SL,9.21109222265246,1.0096753256557278
IT,LPR1,38.4695,14.9569,0.063,9,Lb,100,SL,0.0303205793191787,20.450888446579903
IT,LRG,40.0218,15.8908,0.756,17,Ucr,100,SL,15.5034036007037,35.36886548435964
IT,LRNO,41.8066,14.9201,0.409,17,Ucr,100,SL,21.4926659929541,31.91993488948584
IT,LRS,40.0466,15.8348,0.44,12,Cr,100,SL,12.692929916181,12.122027988567746
IT,LSN,41.8526,15.3601,0.018,3,Al,210,ACL,5.5833890311132,39.79012894849152
IT,LSP,44.0961,9.8079,0.107,12,Cr,100,SL,0.679497125169959,57.12538151019987
IT,LSS,42.5582,12.9689,1.067,12,Cr,300,FL,86.6783933080112,4.9404998012171815
IT,LTA,41.4725,12.9068,0.032,17,Ucr,100,SL,8.05276579604771,12.736951097666676
IT,LTR,40.0876,16.0094,0.882,15,Sr,100,SL,28.9664032739859,11.676789817716122
IT,LTSN,45.7929,13.0191,0.052,3,Al,100,SL,15.874756514837,21.575438025861757
IT,LUI,45.9991,8.7842,0.461,14,Nsr,300,FL,174.725140729314,17.724454034028934
IT,LVN1,40.7842,15.3046,0.56,12,Cr,210,ACL,42.7336882847122,24.007202976637217
IT,LVNO,43.5538,10.3204,0.06,20,B,100,SL,1.37769418620149,19.715356915009107
IT,LVO,43.5408,10.3173,0.078,20,B,100,SL,1.18668472217822,16.168460809656484
IT,LVR,43.4999,10.4126,0.294,15,Sr,100,SL,6.08854146113347,15.898477356625865
IT,MAI,46.1853,13.0692,0.176,3,Al,100,SL,53.3675515080561,24.784361291227427
IT,MAJ,46.1822,13.0689,0.223,3,Al,100,SL,53.031762973372,31.12053656634805
IT,MAR,40.675,16.582,0.412,12,Cr,100,SL,38.4661171870881,2.1316098096833547
RF,MASA,46.1722,13.4313,0.693,6,Ssr,100,SL,41.6048676077305,32.15816838855672
IT,MAZ,37.6718,12.6108,0.094,16,Ccr,230,GL,2.62037214027903,61.7573507141843
IT,MCA,39.0774,16.7897,0.45,13,Ir,100,SL,18.4408817110229,12.169865010658963
IT,MCLF,41.9016,14.8374,0.397,5,E,100,SL,14.4282924691119,26.327084657059107
IT,MCN,41.3393,14.6635,0.667,12,Cr,100,SL,64.106787546334,27.07124700323132
IT,MCR,43.7998,12.4475,0.303,3,Al,100,SL,29.0987695290051,4.576717943340754
IT,MCS,43.9937,12.1067,0.249,16,Ccr,300,FL,33.424142475167,30.973770566199185
IT,MCT,43.2925,13.4189,0.349,17,Ucr,100,SL,24.4945756203095,13.932832197576165
IT,MDC,44.4855,11.6404,0.026,3,Al,100,SL,52.6605291806485,10.630914357927123
IT,MDG,44.1592,11.7885,0.187,3,Al,100,SL,47.9723270518598,23.33920724788796
IT,MDN,44.646,10.8899,0.08,3,Al,100,SL,96.6937562222792,6.595893575844255
IT,MDT,44.135,11.8297,0.571,6,Ssr,100,SL,46.1391487378713,8.376004801317045
IT,MFG,38.1888,15.5406,0.196,15,Sr,100,SL,1.48770279789912,46.41387112819143
IT,MLBT,45.6323,10.0993,0.281,16,Ccr,100,SL,162.166439374966,47.0159819907573
IT,MLC,45.8079,10.8485,0.098,3,Al,100,SL,127.652055826551,4.8514695387197495
IT,MLD,44.1184,12.071,0.116,16,Ccr,220,PCL,28.0993760335569,18.144782783433865
IT,MLF,40.9971,15.6459,0.572,17,Ucr,100,SL,57.6299395003922,9.448847469050207
IT,MLR,40.2402,15.8631,0.85,17,Ucr,100,SL,28.2529236342514,26.416403994816704
IT,MMP1,42.2492,12.7483,0.471,12,Cr,100,SL,70.3768980869743,0.9028177341811628
IT,MMR7,40.297,15.9887,0.693,16,Ccr,100,SL,39.820692343657,23.289558673133268
IT,MND,41.6396,15.8907,0.067,12,Cr,100,SL,2.59092121604942,83.2091927729706
IT,MNF,43.0596,13.1844,0.644,10,M,300,FL,52.7541878253408,13.907104662163066
IT,MNG,41.7032,15.959,0.808,12,Cr,100,SL,5.3684462193988,9.694893884739336
IT,MNN,41.6342,15.9113,0.083,12,Cr,100,SL,0.990486111072157,19.577085503165296
IT,MNOV,45.1452,10.7882,0.074,3,Al,100,SL,137.42037696389,13.978586655077342
IT,MNS,45.2517,11.7221,0.014,3,Al,100,SL,45.0534527794591,0.8455586317118705
IT,MNT,43.1396,11.1827,0.371,14,Nsr,100,SL,48.5101003844455,1.3134010371369091
IX,MNT3,40.837,15.0067,0.866,12,Cr,300,FL,26.8572061768289,7.665761696872715
RF,MNTB,45.7684,12.0577,0.109,3,Al,100,SL,46.6171366559959,62.133647078321104
IT,MODG,41.1087,16.7663,0.07,12,Cr,100,SL,4.88620744506369,90.98697154059084
IT,MOG,44.1703,11.7669,0.511,6,Ssr,100,SL,49.1717769905762,0.1211580656619216
RF,MOGG,46.4048,13.1885,0.371,12,Cr,300,FL,76.3014039761227,9.498407926642658
RF,MONF,45.8113,13.5356,0.038,12,Cr,230,GL,0.749516831485127,37.29266522742887
RF,MORT,46.398,12.702,0.807,12,Cr,300,FL,88.5379277108884,30.22121155952932
IT,MOV,46.1551,12.6551,0.373,3,Al,300,FL,63.2281920012665,26.004168935830855
IT,MPCD,40.7944,14.0552,0.088,11,Pr,100,SL,0.660692573431192,5.858643218661216
IT,MRA,39.9871,15.7309,0.534,15,Sr,210,ACL,1.42182526143778,11.385424106484727
IT,MRC,41.3444,14.6941,0.41,17,Ucr,100,SL,68.697007586178,5.322028566001939
IT,MRH,41.3424,16.1938,0.014,3,Al,100,SL,1.9738382265709,41.07867900586291
IT,MRL,40.7582,15.4785,0.775,12,Cr,100,SL,55.6272074509017,1.7228768183998235
IT,MRM,39.8832,15.9895,0.918,12,Cr,100,SL,17.0807306158343,38.04647543662078
IT,MRN,44.8782,11.0617,0.015,3,Al,100,SL,94.7758733591619,19.6550722127654
